participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.rating1,player.faceid,player.TPrating,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,72,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,73,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,73,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,74,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,74,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,75,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,75,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,76,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,76,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,77,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,77,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,78,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,78,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,79,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,79,zv8vda12,,,,,,1
1,aaz521sy,,0,4,160,sc_round1,Results,127.0.0.1,2020-05-07 12:03:08.444317+00:00,1,,,0,1,,,,0,1,80,zv8vda12,,,,,,1
2,6gv7x8hz,,0,0,160,,,,,0,,,0,2,,,,0,1,80,zv8vda12,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,3,78,0,0,1,1,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,1,7oqc98xc,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,4,7,4,0,1,2,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,2,7oqc98xc,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,5,23,8,0,1,3,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,3,7oqc98xc,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,,,,0,1,4,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,4,7oqc98xc,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,,,,0,1,5,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,5,7oqc98xc,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,,,,0,1,6,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,6,7oqc98xc,,,,,,1
1,9brl3i12,,0,6,160,sc_round1,Results,127.0.0.1,2020-05-07 12:14:17.137764+00:00,1,,,0,1,,,,0,1,7,7oqc98xc,,,,,,1
2,6b9cytnc,,0,0,160,,,,,0,,,0,2,,,,0,1,7,7oqc98xc,,,,,,1
