"","FaceID","ID","Participant","FirstRating","GroupRating","SecondRating","Feedback","Change","TimeStamp1","TimeStamp2"
"131",13,"JakobBjerreKnudsen",75,4,0,5,NA,1,2020-05-11 11:16:46,2020-05-11 13:32:30
"132",13,"Jesper",82,6,4,1,-2,-5,2020-05-11 13:13:10,2020-05-11 15:34:50
"133",13,"Johanne",32,6,3,5,-3,-1,2020-05-13 19:27:00,2020-05-13 21:01:36
"134",13,"Katrine",76,5,3,5,-2,0,2020-05-11 11:26:24,2020-05-11 19:28:47
"135",13,"lilla",73,5,7,4,2,-1,2020-05-11 11:12:11,2020-05-11 13:02:33
"136",13,"Llamaman",74,2,2,2,0,0,2020-05-11 11:16:30,2020-05-12 10:18:57
"137",13,"minime",97,1,0,4,NA,3,2020-05-12 08:19:30,2020-05-13 12:38:49
"138",13,"Misterperc",96,7,5,6,-2,-1,2020-05-12 08:14:46,2020-05-12 13:31:52
"139",13,"Moe",65,3,5,4,2,1,2020-05-11 10:31:13,2020-05-12 16:28:24
"140",13,"Python",69,4,7,2,3,-2,2020-05-11 10:37:55,2020-05-11 11:59:16
"141",13,"RBJ",47,1,1,5,0,4,2020-05-08 17:17:19,2020-05-09 12:56:32
"142",13,"Rensdyrlam",72,2,2,2,0,0,2020-05-11 11:07:17,2020-05-11 13:45:45
"143",13,"rosenmeier",31,2,0,3,NA,1,2020-05-13 17:39:40,2020-05-13 20:02:00
"144",13,"Sarah",54,3,1,6,-2,3,2020-05-10 08:13:59,2020-05-10 10:46:01
"145",13,"SKJ",10,2,5,4,3,2,2020-05-12 15:25:17,2020-05-12 16:45:15
"146",13,"Slowlydying",31,3,1,4,-2,1,2020-05-08 11:11:42,2020-05-09 09:54:54
"147",13,"SOJ",79,1,4,2,3,1,2020-05-11 11:35:22,2020-05-12 20:54:58
"148",13,"wtf",11,2,0,2,NA,0,2020-05-12 15:38:57,2020-05-12 18:48:25
"149",14,"17",86,6,4,2,-2,-4,2020-05-11 14:33:33,2020-05-12 06:46:41
"150",14,"1879",95,7,0,5,NA,-2,2020-05-12 08:11:44,2020-05-12 12:42:31
"151",14,"1918",27,4,0,5,NA,1,2020-05-08 09:59:25,2020-05-09 07:13:50
"152",14,"2205",84,1,0,2,NA,1,2020-05-11 13:59:46,2020-05-12 06:45:37
"153",14,"4520",1,3,6,2,3,-1,2020-05-07 13:26:05,2020-05-07 18:11:06
"154",14,"45bites",9,2,5,4,3,2,2020-05-12 14:19:49,2020-05-12 17:32:36
"155",14,"6107",12,5,7,5,2,0,2020-05-12 16:03:37,2020-05-12 17:33:36
"156",14,"9696",55,1,4,3,3,2,2020-05-10 12:43:53,2020-05-10 18:25:33
"157",14,"andrea",61,5,7,5,2,0,2020-05-11 10:19:49,2020-05-12 08:34:56
"158",14,"Asad",33,6,8,2,2,-4,2020-05-13 20:10:11,2020-05-13 21:28:24
