"","FaceID","ID","FirstRating","GroupRating","SecondRating","Change","Feedback","Condition"
"419",20,"ASDF1234",7,5,6,-1,-2,"Peri"
"420",20,"Astrid",5,8,4,-1,3,"Peri"
"421",20,"Bøllemis",7,4,7,0,-3,"Peri"
"422",20,"Carmesin",4,0,4,0,NA,"Peri"
"423",20,"Christian Jacobsen",6,6,7,1,0,"Peri"
"424",20,"GOAT",6,8,7,1,2,"Peri"
"425",20,"Grandmasterflash",7,4,5,-2,-3,"Peri"
"426",20,"havegang7",8,5,8,0,-3,"Peri"
"427",20,"hejhejhund",6,0,4,-2,NA,"Peri"
"428",20,"Jesper",2,5,3,1,3,"Peri"
"429",20,"Johanne",8,6,8,0,-2,"Peri"
"430",20,"Katrine",6,6,6,0,0,"Peri"
"431",20,"lilla",5,8,6,1,3,"Peri"
"432",20,"Llamaman",4,4,7,3,0,"Peri"
"433",20,"minime",8,5,8,0,-3,"Peri"
"434",20,"Misterperc",8,0,8,0,NA,"Peri"
"435",20,"Moe",8,6,8,0,-2,"Peri"
"436",20,"Python",5,3,5,0,-2,"Peri"
"437",20,"RBJ",3,6,7,4,3,"Peri"
"438",20,"Rensdyrlam",8,6,8,0,-2,"Peri"
"439",20,"rosenmeier",7,0,7,0,NA,"Peri"
"440",20,"Sarah",6,8,7,1,2,"Peri"
"441",20,"SKJ",6,4,6,0,-2,"Peri"
"442",20,"Slowlydying",8,5,8,0,-3,"Peri"
"443",20,"SOJ",1,3,4,3,2,"Peri"
"444",20,"wtf",6,3,6,0,-3,"Peri"
"445",21,"17",1,3,3,2,2,"Peri"
"446",21,"1879",4,2,2,-2,-2,"Peri"
"447",21,"1918",6,4,1,-5,-2,"Peri"
"448",21,"2205",7,4,3,-4,-3,"Peri"
"449",21,"4520",2,4,5,3,2,"Peri"
"450",21,"45bites",4,0,2,-2,NA,"Peri"
"451",21,"6107",6,3,5,-1,-3,"Peri"
"452",21,"9696",2,4,4,2,2,"Peri"
"453",21,"andrea",6,3,3,-3,-3,"Peri"
"454",21,"Asad",3,5,1,-2,2,"Peri"
"455",21,"ASDF1234",5,0,4,-1,NA,"Peri"
"456",21,"Astrid",2,5,3,1,3,"Peri"
"457",21,"Bøllemis",7,7,7,0,0,"Peri"
"458",21,"Carmesin",4,2,5,1,-2,"Peri"
"459",21,"Christian Jacobsen",4,4,4,0,0,"Peri"
"460",21,"GOAT",4,2,5,1,-2,"Peri"
"461",21,"Grandmasterflash",4,2,3,-1,-2,"Peri"
"462",21,"havegang7",6,8,5,-1,2,"Peri"
"463",21,"hejhejhund",6,6,7,1,0,"Peri"
"464",21,"JakobBjerreKnudsen",5,8,3,-2,3,"Peri"
"465",21,"Jesper",4,0,2,-2,NA,"Peri"
