"","FaceID","ID","URL round 1.x","URL round 2.x","ParticipantN.x","Round.x","FirstRating","GroupRating","URL round 2.y","URL round 1.y","ParticipantN.y","Round.y","SecondRating","Feedback","Change"
"149",14,"17","sjaa659z","fzt0cp0a",86,"sc_round1",6,4,"fzt0cp0a","sjaa659z",36,"sc_round2",2,-2,-4
"150",14,"1879","pywjuver","ara1b058",95,"sc_round1",7,0,"ara1b058","pywjuver",39,"sc_round2",5,NA,-2
"151",14,"1918","bieie7ao","5nmlzc2i",27,"sc_round1",4,0,"5nmlzc2i","bieie7ao",8,"sc_round2",5,NA,1
"152",14,"2205","unfwcb90","wnjx49s1",84,"sc_round1",1,0,"wnjx49s1","unfwcb90",35,"sc_round2",2,NA,1
"153",14,"4520","t3zc9soo","gm0b0k11",1,"sc_round1",3,6,"gm0b0k11","t3zc9soo",1,"sc_round2",2,3,-1
"154",14,"45bites","g54qjb0l","36hprd2x",9,"sc_round1",2,5,"36hprd2x","g54qjb0l",48,"sc_round2",4,3,2
"155",14,"6107","24vjo3ss","xxe6xzes",12,"sc_round1",5,7,"xxe6xzes","24vjo3ss",49,"sc_round2",5,2,0
"156",14,"9696","st6r8kfq","4v10zr69",55,"sc_round1",1,4,"4v10zr69","st6r8kfq",21,"sc_round2",3,3,2
"157",14,"andrea","lq0zamde","ia0rpy42",61,"sc_round1",5,7,"ia0rpy42","lq0zamde",37,"sc_round2",5,2,0
"158",14,"Asad","ktm1ojr2","e96jb6mr",33,"sc_round1",6,8,"e96jb6mr","ktm1ojr2",65,"sc_round2",2,2,-4
"159",14,"ASDF1234","dbfzbwq1","hsui8h86",70,"sc_round1",5,8,"hsui8h86","dbfzbwq1",23,"sc_round2",5,3,0
"160",14,"Astrid","zhqv6mcm","9700fvfg",38,"sc_round1",1,3,"9700fvfg","zhqv6mcm",13,"sc_round2",2,2,1
"161",14,"Bøllemis","t55pnknq","xolku9ti",71,"sc_round1",7,5,"xolku9ti","t55pnknq",25,"sc_round2",7,-2,0
"162",14,"Carmesin","hhvjjhod","wr6elhvg",45,"sc_round1",3,1,"wr6elhvg","hhvjjhod",16,"sc_round2",3,-2,0
"163",14,"Christian Jacobsen","p16vvjzi","9tnr4s3y",16,"sc_round1",2,5,"9tnr4s3y","p16vvjzi",2,"sc_round2",3,3,1
"164",14,"GOAT","0nfe0k9c","ii2ca2a4",44,"sc_round1",6,3,"ii2ca2a4","0nfe0k9c",5,"sc_round2",3,-3,-3
"165",14,"Grandmasterflash","9ial3dvy","4wl0bfqz",81,"sc_round1",6,8,"4wl0bfqz","9ial3dvy",54,"sc_round2",5,2,-1
"166",14,"havegang7","5ziimz34","14ho06cq",36,"sc_round1",5,7,"14ho06cq","5ziimz34",7,"sc_round2",7,2,2
"167",14,"hejhejhund","3c7i3qeh","oug44nb6",52,"sc_round1",5,3,"oug44nb6","3c7i3qeh",19,"sc_round2",3,-2,-2
"168",14,"Jesper","4h1ska65","wltwxmba",82,"sc_round1",5,7,"wltwxmba","4h1ska65",30,"sc_round2",4,2,-1
"169",14,"Johanne","mx0i74iq","dt6c67jl",32,"sc_round1",5,0,"dt6c67jl","mx0i74iq",64,"sc_round2",7,NA,2
"170",14,"Katrine","ljefhi7s","v2mkys1q",76,"sc_round1",5,7,"v2mkys1q","ljefhi7s",34,"sc_round2",5,2,0
"171",14,"lilla","g1zkj1et","jfke82qw",73,"sc_round1",3,6,"jfke82qw","g1zkj1et",26,"sc_round2",4,3,1
"172",14,"Llamaman","yhpfe3ki","qr957mqd",74,"sc_round1",3,0,"qr957mqd","yhpfe3ki",38,"sc_round2",2,NA,-1
"173",14,"minime","fw1o7714","1qevmfei",97,"sc_round1",7,7,"1qevmfei","fw1o7714",57,"sc_round2",4,0,-3
"174",14,"Misterperc","eukb0tda","4d35wwdw",96,"sc_round1",5,2,"4d35wwdw","eukb0tda",42,"sc_round2",3,-3,-2
"175",14,"Moe","eem5hb8v","ks23jwvj",65,"sc_round1",3,1,"ks23jwvj","eem5hb8v",45,"sc_round2",7,-2,4
"176",14,"Python","70icxtu0","7vzmcs48",69,"sc_round1",3,3,"7vzmcs48","70icxtu0",24,"sc_round2",4,0,1
"177",14,"RBJ","nak8o392","11u16gtf",47,"sc_round1",2,4,"11u16gtf","nak8o392",11,"sc_round2",6,2,4
"178",14,"Rensdyrlam","n8969zl4","oen6qf4o",72,"sc_round1",3,3,"oen6qf4o","n8969zl4",28,"sc_round2",1,0,-2
"179",14,"rosenmeier","pkf9fk1g","5969nxrd",31,"sc_round1",2,5,"5969nxrd","pkf9fk1g",58,"sc_round2",3,3,1
"180",14,"Sarah","szp84fhk","uvpc88el",54,"sc_round1",7,4,"uvpc88el","szp84fhk",20,"sc_round2",4,-3,-3
"181",14,"SKJ","fwpmdfnx","csqlcfa3",10,"sc_round1",5,2,"csqlcfa3","fwpmdfnx",46,"sc_round2",5,-3,0
"182",14,"Slowlydying","s9p5ckq6","v5ibxvij",31,"sc_round1",7,0,"v5ibxvij","s9p5ckq6",10,"sc_round2",8,NA,1
"183",14,"SOJ","s1660bu2","gsnp1osd",79,"sc_round1",2,2,"gsnp1osd","s1660bu2",53,"sc_round2",4,0,2
"184",14,"wtf","zhw4p27n","8gnloax0",11,"sc_round1",3,6,"8gnloax0","zhw4p27n",52,"sc_round2",4,3,1
"185",15,"17","sjaa659z","fzt0cp0a",86,"sc_round1",6,3,"fzt0cp0a","sjaa659z",36,"sc_round2",4,-3,-2
"186",15,"1879","pywjuver","ara1b058",95,"sc_round1",4,6,"ara1b058","pywjuver",39,"sc_round2",5,2,1
"187",15,"1918","bieie7ao","5nmlzc2i",27,"sc_round1",6,3,"5nmlzc2i","bieie7ao",8,"sc_round2",1,-3,-5
"188",15,"2205","unfwcb90","wnjx49s1",84,"sc_round1",6,0,"wnjx49s1","unfwcb90",35,"sc_round2",5,NA,-1
