"","ID","FaceID","FirstRating","GroupRating","SecondRating","Feedback","Change","Condition"
"356",13,42,3,1,2,-2,-1,"Pre"
"357",13,43,5,7,5,2,0,"Pre"
"358",13,44,5,3,4,-2,-1,"Pre"
"359",13,45,5,7,6,2,1,"Pre"
"360",13,46,6,4,6,-2,0,"Pre"
"361",13,47,7,4,7,-3,0,"Pre"
"362",13,48,5,3,5,-2,0,"Pre"
"363",13,49,3,5,3,2,0,"Pre"
"364",13,5,6,0,7,NA,1,"Pre"
"365",13,50,7,5,7,-2,0,"Pre"
"366",13,51,3,5,4,2,1,"Pre"
"367",13,52,4,1,4,-3,0,"Pre"
"368",13,53,6,8,7,2,1,"Pre"
"369",13,54,4,6,3,2,-1,"Pre"
"370",13,55,6,3,7,-3,1,"Pre"
"371",13,56,7,4,7,-3,0,"Pre"
"372",13,57,6,6,4,0,-2,"Pre"
"373",13,58,4,2,4,-2,0,"Pre"
"374",13,59,7,0,6,NA,-1,"Pre"
"375",13,6,3,3,3,0,0,"Pre"
"376",13,60,7,5,6,-2,-1,"Pre"
"377",13,61,3,3,3,0,0,"Pre"
"378",13,62,4,6,4,2,0,"Pre"
"379",13,63,8,6,7,-2,-1,"Pre"
"380",13,64,7,5,6,-2,-1,"Pre"
"381",13,65,4,6,4,2,0,"Pre"
"382",13,66,4,7,4,3,0,"Pre"
"383",13,67,7,4,8,-3,1,"Pre"
"384",13,68,7,7,7,0,0,"Pre"
"385",13,69,6,3,6,-3,0,"Pre"
"386",13,7,4,2,5,-2,1,"Pre"
"387",13,70,4,6,4,2,0,"Pre"
"388",13,71,7,7,7,0,0,"Pre"
"389",13,72,5,0,5,NA,0,"Pre"
"390",13,73,4,6,4,2,0,"Pre"
"391",13,74,6,4,4,-2,-2,"Pre"
"392",13,75,4,6,5,2,1,"Pre"
"393",13,76,5,0,6,NA,1,"Pre"
"394",13,77,5,2,4,-3,-1,"Pre"
"395",13,78,3,1,4,-2,1,"Pre"
"396",13,79,7,5,8,-2,1,"Pre"
"397",13,8,4,6,4,2,0,"Pre"
"398",13,80,5,5,3,0,-2,"Pre"
"399",13,81,4,1,4,-3,0,"Pre"
"400",13,9,4,4,3,0,-1,"Pre"
"401",14,10,6,0,6,NA,0,"Pre"
"402",14,11,7,7,5,0,-2,"Pre"
"403",14,12,2,5,1,3,-1,"Pre"
"404",14,13,2,5,2,3,0,"Pre"
"405",14,14,4,4,3,0,-1,"Pre"
"406",14,15,5,8,3,3,-2,"Pre"
"407",14,16,4,1,6,-3,2,"Pre"
"408",14,17,4,7,6,3,2,"Pre"
"409",14,18,8,5,6,-3,-2,"Pre"
"410",14,19,3,0,2,NA,-1,"Pre"
"411",14,2,5,3,5,-2,0,"Pre"
"412",14,20,7,7,7,0,0,"Pre"
"413",14,21,3,3,2,0,-1,"Pre"
"414",14,22,2,4,3,2,1,"Pre"
"415",14,23,5,8,4,3,-1,"Pre"
"416",14,24,7,7,6,0,-1,"Pre"
"417",14,25,5,7,3,2,-2,"Pre"
"418",14,26,6,0,7,NA,1,"Pre"
"419",14,27,5,2,4,-3,-1,"Pre"
"420",14,28,3,0,5,NA,2,"Pre"
"421",14,29,7,7,6,0,-1,"Pre"
"422",14,3,3,5,2,2,-1,"Pre"
"423",14,30,3,6,6,3,3,"Pre"
"424",14,31,2,4,6,2,4,"Pre"
"425",14,32,3,6,3,3,0,"Pre"
"426",14,33,5,0,2,NA,-3,"Pre"
"427",14,34,2,5,1,3,-1,"Pre"
"428",14,35,6,0,6,NA,0,"Pre"
"429",14,36,3,3,1,0,-2,"Pre"
"430",14,37,4,0,4,NA,0,"Pre"
"431",14,38,2,2,2,0,0,"Pre"
"432",14,39,6,3,6,-3,0,"Pre"
"433",14,4,6,6,4,0,-2,"Pre"
"434",14,40,7,5,6,-2,-1,"Pre"
"435",14,41,6,4,6,-2,0,"Pre"
"436",14,42,1,3,1,2,0,"Pre"
"437",14,43,2,5,4,3,2,"Pre"
"438",14,44,2,5,1,3,-1,"Pre"
"439",14,45,5,8,7,3,2,"Pre"
"440",14,46,2,0,7,NA,5,"Pre"
"441",14,47,7,7,7,0,0,"Pre"
"442",14,48,5,8,6,3,1,"Pre"
"443",14,49,1,3,1,2,0,"Pre"
"444",14,5,6,8,6,2,0,"Pre"
"445",14,50,3,1,7,-2,4,"Pre"
"446",14,51,2,5,2,3,0,"Pre"
"447",14,52,2,5,2,3,0,"Pre"
"448",14,53,6,8,7,2,1,"Pre"
"449",14,54,2,5,2,3,0,"Pre"
"450",14,55,7,7,6,0,-1,"Pre"
"451",14,56,7,5,7,-2,0,"Pre"
"452",14,57,3,1,1,-2,-2,"Pre"
"453",14,58,1,3,1,2,0,"Pre"
"454",14,59,7,4,7,-3,0,"Pre"
"455",14,6,2,5,3,3,1,"Pre"
"456",14,60,2,4,2,2,0,"Pre"
"457",14,61,3,5,5,2,2,"Pre"
"458",14,62,3,1,2,-2,-1,"Pre"
"459",14,63,6,6,6,0,0,"Pre"
"460",14,64,5,5,6,0,1,"Pre"
"461",14,65,4,2,5,-2,1,"Pre"
"462",14,66,1,3,2,2,1,"Pre"
"463",14,67,8,5,7,-3,-1,"Pre"
"464",14,68,3,5,3,2,0,"Pre"
"465",14,69,6,3,3,-3,-3,"Pre"
"466",14,7,2,4,3,2,1,"Pre"
"467",14,70,3,5,4,2,1,"Pre"
"468",14,71,5,0,6,NA,1,"Pre"
"469",14,72,3,3,4,0,1,"Pre"
"470",14,73,1,1,1,0,0,"Pre"
"471",14,74,5,2,2,-3,-3,"Pre"
"472",14,75,6,3,5,-3,-1,"Pre"
"473",14,76,5,2,4,-3,-1,"Pre"
"474",14,77,6,8,5,2,-1,"Pre"
"475",14,78,2,4,2,2,0,"Pre"
"476",14,79,6,8,6,2,0,"Pre"
"477",14,8,1,1,1,0,0,"Pre"
"478",14,80,3,5,2,2,-1,"Pre"
"479",14,81,4,6,5,2,1,"Pre"
"480",14,9,3,0,3,NA,0,"Pre"
"481",15,10,7,7,6,0,-1,"Pre"
"482",15,11,6,3,2,-3,-4,"Pre"
"483",15,12,1,3,2,2,1,"Pre"
"484",15,13,1,1,3,0,2,"Pre"
"485",15,14,2,2,2,0,0,"Pre"
"486",15,15,3,1,5,-2,2,"Pre"
"487",15,16,1,1,2,0,1,"Pre"
"488",15,17,7,0,6,NA,-1,"Pre"
"489",15,18,8,6,7,-2,-1,"Pre"
